127.0.0.1 - - [14/Apr/2020:10:21:17 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:23 +0900] "GET /semi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:23 +0900] "GET /semi/ HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:23 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/views/member/mypageInfo.jsp HTTP/1.1" 200 12692
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/css/mypage_style.css HTTP/1.1" 200 14763
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/css/animate.css HTTP/1.1" 200 75052
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/css/owl.carousel.css HTTP/1.1" 200 4028
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/images/logo_yellow.svg HTTP/1.1" 200 6408
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/images/mypage/mem_update_icon.png HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/js/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/js/jquery.marquee.min.js HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/js/main.js HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/images/mypage/reserv_icon.png HTTP/1.1" 200 3575
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/images/mypage/payment_icon.png HTTP/1.1" 200 3135
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/images/mypage/review_icon.png HTTP/1.1" 200 2537
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/images/mypage/question_icon.png HTTP/1.1" 200 2935
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/images/mypage/clear_icon.png HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/images/mypage/like_icon.png HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/images/mypage/secession_icon.png HTTP/1.1" 200 2733
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/images/mypage/TA1e.png HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:24 +0900] "GET /semi/resources/images/mypage/TA2e.png HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:25 +0900] "GET /semi/resources/images/pattern.png HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:27 +0900] "GET /semi/views/member/reservationCheck.jsp HTTP/1.1" 200 13335
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:28 +0900] "GET /semi/views/member/paymentStatus.jsp HTTP/1.1" 200 12994
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:28 +0900] "GET /semi/views/member/review.jsp HTTP/1.1" 200 13398
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:28 +0900] "GET /semi/views/member/review.jsp HTTP/1.1" 200 13398
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:29 +0900] "GET /semi/views/member/oboQuestion.jsp HTTP/1.1" 200 13239
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:29 +0900] "GET /semi/views/member/clearTheme.jsp HTTP/1.1" 200 12907
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:29 +0900] "GET /semi/resources/images/mypage/theme2.png HTTP/1.1" 200 150750
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:29 +0900] "GET /semi/resources/images/mypage/theme1.png HTTP/1.1" 200 198258
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:29 +0900] "GET /semi/resources/images/mypage/theme3.png HTTP/1.1" 200 118181
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:29 +0900] "GET /semi/views/member/likeList.jsp HTTP/1.1" 200 12486
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:30 +0900] "GET /semi/views/member/selfChecking.jsp HTTP/1.1" 200 9931
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:21:30 +0900] "GET /semi/resources/images/mypage/CSe.png HTTP/1.1" 200 3973
